
time,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,MagnetometerX,MagnetometerY,MagnetometerZ
6.3310,0.0964,0.6095,-0.7389,2.783535957336426,0.7467503547668457,0.39201730489730835,16.399999618530273,32.400001525878906,4.300000190734863
6.3490,0.0964,0.6095,-0.7389,2.783535957336426,0.7467503547668457,0.39201730489730835,16.399999618530273,32.400001525878906,4.300000190734863
6.5200,0.0297,0.1628,-0.9756,2.783535957336426,0.7467503547668457,0.39201730489730835,16.399999618530273,32.400001525878906,4.300000190734863
6.5220,0.0297,0.1628,-0.9756,2.783535957336426,0.7467503547668457,0.39201730489730835,17.700000762939453,28.200000762939453,-18.700000762939453
6.5240,0.0297,0.1628,-0.9756,1.6671388149261475,-0.4452805519104004,0.46552056074142456,17.700000762939453,28.200000762939453,-18.700000762939453
6.5260,0.0297,0.1628,-0.9756,1.6671388149261475,-0.4452805519104004,0.46552056074142456,17.700000762939453,28.200000762939453,-18.700000762939453
6.5270,0.0297,0.1628,-0.9756,1.6671388149261475,-0.4452805519104004,0.46552056074142456,17.700000762939453,28.200000762939453,-18.700000762939453
6.5350,0.0297,0.1628,-0.9756,1.6671388149261475,-0.4452805519104004,0.46552056074142456,17.700000762939453,28.200000762939453,-18.700000762939453
6.7040,-0.0581,0.0128,-1.0727,1.6671388149261475,-0.4452805519104004,0.46552056074142456,17.700000762939453,28.200000762939453,-18.700000762939453
6.7060,-0.0581,0.0128,-1.0727,1.6671388149261475,-0.4452805519104004,0.46552056074142456,20.80000114440918,15.40000057220459,-31.700000762939453
6.7070,-0.0581,0.0128,-1.0727,0.7414240837097168,-0.4388889670372009,-0.1203748807311058,20.80000114440918,15.40000057220459,-31.700000762939453
6.7080,-0.0581,0.0128,-1.0727,0.7414240837097168,-0.4388889670372009,-0.1203748807311058,20.80000114440918,15.40000057220459,-31.700000762939453
6.7100,-0.0581,0.0128,-1.0727,0.7414240837097168,-0.4388889670372009,-0.1203748807311058,20.80000114440918,15.40000057220459,-31.700000762939453
6.7210,-0.0581,0.0128,-1.0727,0.7414240837097168,-0.4388889670372009,-0.1203748807311058,20.80000114440918,15.40000057220459,-31.700000762939453
6.8860,-0.0632,-0.0888,-1.0608,0.7414240837097168,-0.4388889670372009,-0.1203748807311058,20.80000114440918,15.40000057220459,-31.700000762939453
6.8880,-0.0632,-0.0888,-1.0608,0.7414240837097168,-0.4388889670372009,-0.1203748807311058,20.100000381469727,1.7000000476837158,-37.60000228881836
6.8890,-0.0632,-0.0888,-1.0608,0.14061491191387177,0.33236250281333923,-0.05006742849946022,20.100000381469727,1.7000000476837158,-37.60000228881836
6.8900,-0.0632,-0.0888,-1.0608,0.14061491191387177,0.33236250281333923,-0.05006742849946022,20.100000381469727,1.7000000476837158,-37.60000228881836
6.8910,-0.0632,-0.0888,-1.0608,0.14061491191387177,0.33236250281333923,-0.05006742849946022,20.100000381469727,1.7000000476837158,-37.60000228881836
6.9050,-0.0632,-0.0888,-1.0608,0.14061491191387177,0.33236250281333923,-0.05006742849946022,20.100000381469727,1.7000000476837158,-37.60000228881836
7.0700,-0.0368,-0.0501,-1.0486,0.14061491191387177,0.33236250281333923,-0.05006742849946022,20.100000381469727,1.7000000476837158,-37.60000228881836
7.0730,-0.0368,-0.0501,-1.0486,0.14061491191387177,0.33236250281333923,-0.05006742849946022,15.199999809265137,-3.700000047683716,-40.900001525878906
7.0750,-0.0368,-0.0501,-1.0486,-0.002130528911948204,0.15978966653347015,-0.07456851005554199,15.199999809265137,-3.700000047683716,-40.900001525878906
7.0780,-0.0368,-0.0501,-1.0486,-0.002130528911948204,0.15978966653347015,-0.07456851005554199,15.199999809265137,-3.700000047683716,-40.900001525878906
7.0790,-0.0368,-0.0501,-1.0486,-0.002130528911948204,0.15978966653347015,-0.07456851005554199,15.199999809265137,-3.700000047683716,-40.900001525878906
7.0880,-0.0368,-0.0501,-1.0486,-0.002130528911948204,0.15978966653347015,-0.07456851005554199,15.199999809265137,-3.700000047683716,-40.900001525878906
7.2520,-0.0561,-0.0213,-1.0061,-0.002130528911948204,0.15978966653347015,-0.07456851005554199,15.199999809265137,-3.700000047683716,-40.900001525878906
